,index,Total:,    Population_of_one_race:,        White_alone,        Black_or_African_American_alone,        American_Indian_and_Alaska_Native_alone,        Asian_alone,        Native_Hawaiian_and_Other_Pacific_Islander_alone,        Some_Other_Race_alone,year
403,"Burke County, Georgia","23,316","23,009","11,070","11,533",49,77,20,260,2010
403,"Bulloch County, Georgia","81,099","77,243","50,718","23,052",225,"1,303",71,"1,874",2020
404,"Butts County, Georgia","23,655","23,340","16,546","6,469",59,109,3,154,2010
404,"Burke County, Georgia","24,596","23,690","12,166","11,027",58,97,13,329,2020
405,"Calhoun County, Georgia","6,694","6,630","2,326","4,105",10,30,18,141,2010
405,"Butts County, Georgia","25,434","24,242","16,823","6,832",39,107,9,432,2020
406,"Camden County, Georgia","50,513","48,982","37,557","9,799",259,724,76,567,2010
406,"Calhoun County, Georgia","5,573","5,493","1,783","3,581",8,19,0,102,2020
407,"Candler County, Georgia","10,998","10,884","7,253","2,683",9,57,5,877,2010
407,"Camden County, Georgia","54,768","50,464","38,371","9,697",261,882,77,"1,176",2020
408,"Carroll County, Georgia","110,527","108,063","83,579","20,089",389,853,32,"3,121",2010
408,"Candler County, Georgia","10,981","10,372","6,768","2,695",30,65,3,811,2020
409,"Catoosa County, Georgia","63,942","62,887","59,845","1,392",212,783,34,621,2010
409,"Carroll County, Georgia","119,148","111,334","82,566","22,126",520,"1,121",23,"4,978",2020
410,"Charlton County, Georgia","12,171","11,979","8,352","3,464",45,76,3,39,2010
410,"Catoosa County, Georgia","67,872","64,020","59,903","1,858",244,"1,035",85,895,2020
411,"Chatham County, Georgia","265,128 (r41131)","259,429","140,010","106,392",691,"6,311",254,"5,771",2010
411,"Charlton County, Georgia","12,518","12,070","8,745","2,627",47,116,2,533,2020
412,"Chattahoochee County, Georgia","11,267","10,769","7,753","2,123",81,246,72,494,2010
412,"Chatham County, Georgia","295,291","277,057","143,891","109,313","1,079","10,709",456,"11,609",2020
413,"Chattooga County, Georgia","26,015","25,601","21,828","2,899",67,108,27,672,2010
413,"Chattahoochee County, Georgia","9,565","8,525","5,965","1,511",46,306,111,586,2020
414,"Cherokee County, Georgia","214,346","209,875","185,536","12,117",814,"3,538",135,"7,735",2010
414,"Chattooga County, Georgia","24,965","23,761","20,293","2,408",98,102,0,860,2020
415,"Clarke County, Georgia","116,714","114,189","72,238","30,988",247,"4,869",84,"5,763",2010
415,"Cherokee County, Georgia","266,620","242,028","204,670","17,785","1,343","5,497",117,"12,616",2020
416,"Clay County, Georgia","3,183","3,146","1,197","1,923",11,10,1,4,2010
416,"Clarke County, Georgia","128,671","120,054","74,925","31,660",580,"4,954",86,"7,849",2020
417,"Clayton County, Georgia","259,424","252,857","48,960","171,480",965,"12,937",139,"18,376",2010
417,"Clay County, Georgia","2,848","2,763","1,151","1,597",1,6,0,8,2020
418,"Clinch County, Georgia","6,798","6,704","4,581","1,886",44,13,4,176,2010
418,"Clayton County, Georgia","297,595","280,614","30,505","207,981","1,991","13,640",178,"26,319",2020
419,"Cobb County, Georgia","688,078","669,415","428,023","171,774","2,314","30,657",346,"36,301",2010
419,"Clinch County, Georgia","6,749","6,483","4,309","1,965",30,23,14,142,2020
420,"Coffee County, Georgia","42,356","41,779","27,386","11,283",117,303,15,"2,675",2010
420,"Cobb County, Georgia","766,149","693,000","387,625","203,840","4,260","42,810",395,"54,070",2020
421,"Colquitt County, Georgia","45,498","44,850","29,441","10,210",218,294,19,"4,668",2010
421,"Coffee County, Georgia","43,092","40,920","25,437","11,972",210,301,26,"2,974",2020
422,"Columbia County, Georgia","124,053","120,564","94,867","18,439",393,"4,761",201,"1,903",2010
422,"Colquitt County, Georgia","45,898","42,927","27,248","10,068",400,388,15,"4,808",2020
423,"Columbia County, Georgia","156,010","142,313","102,028","28,315",540,"7,211",302,"3,917",2020
423,"Cook County, Georgia","17,212","16,977","11,525","4,704",40,114,5,589,2010
424,"Cook County, Georgia","17,229","16,470","10,975","4,772",73,101,9,540,2020
424,"Coweta County, Georgia","127,317","124,677","96,594","22,029",376,"1,934",68,"3,676",2010
425,"Crawford County, Georgia","12,630","12,472","9,428","2,818",58,33,8,127,2010
425,"Coweta County, Georgia","146,158","136,227","101,755","25,867",525,"3,365",66,"4,649",2020
426,"Crawford County, Georgia","12,130","11,521","9,008","2,268",58,31,4,152,2020
426,"Crisp County, Georgia","23,439","23,212","12,487","10,079",32,183,11,420,2010
427,"Dade County, Georgia","16,633","16,415","15,973",145,74,118,9,96,2010
427,"Crisp County, Georgia","20,128","19,482","10,007","8,879",35,180,4,377,2020
428,"Dade County, Georgia","16,251","15,385","14,895",142,83,131,5,129,2020
428,"Dawson County, Georgia","22,330","22,027","21,351",105,82,126,9,354,2010
429,"Decatur County, Georgia","27,842","27,504","15,096","11,438",117,144,6,703,2010
429,"Dawson County, Georgia","26,798","25,073","23,852",209,90,236,15,671,2020
430,"DeKalb County, Georgia","691,893 (r41183)","675,381","230,156","375,725","2,479","35,426",342,"31,253",2010
430,"Decatur County, Georgia","29,367","28,308","14,558","12,241",109,186,16,"1,198",2020
431,"Dodge County, Georgia","21,796","21,581","14,549","6,504",55,101,14,358,2010
431,"DeKalb County, Georgia","764,382","714,489","225,752","388,963","4,412","50,384",250,"44,728",2020
432,"Dooly County, Georgia","14,918","14,782","6,810","7,442",16,96,3,415,2010
432,"Dodge County, Georgia","19,925","19,305","13,020","5,870",23,95,17,280,2020
433,"Dougherty County, Georgia","94,565","93,442","27,986","63,470",209,736,120,921,2010
433,"Dooly County, Georgia","11,208","10,898","4,691","5,561",27,51,5,563,2020
434,"Douglas County, Georgia","132,403","129,246","69,458","52,290",399,"1,904",137,"5,058",2010
434,"Dougherty County, Georgia","85,790","83,230","20,976","59,988",167,668,30,"1,401",2020
435,"Early County, Georgia","11,008","10,924","5,324","5,462",39,37,2,60,2010
435,"Douglas County, Georgia","144,237","133,692","52,285","69,870",689,"2,347",118,"8,383",2020
436,"Early County, Georgia","10,854","10,572","4,864","5,562",36,47,3,60,2020
436,"Echols County, Georgia","4,034","3,920","3,023",171,72,13,2,639,2010
437,"Effingham County, Georgia","52,250","51,270","43,182","7,048",156,427,26,431,2010
437,"Echols County, Georgia","3,697","3,313","2,534",157,66,11,0,545,2020
438,"Elbert County, Georgia","20,166","19,962","13,297","5,950",49,121,5,540,2010
438,"Effingham County, Georgia","64,769","60,278","49,132","8,845",249,681,40,"1,331",2020
439,"Elbert County, Georgia","19,637","18,863","12,824","5,280",59,182,9,509,2020
439,"Emanuel County, Georgia","22,598","22,386","13,928","7,562",58,154,3,681,2010
440,"Emanuel County, Georgia","22,768","22,066","14,026","7,264",60,143,2,571,2020
440,"Evans County, Georgia","11,000","10,883","6,471","3,205",19,74,17,"1,097",2010
441,"Fannin County, Georgia","23,682","23,400","23,007",83,71,77,6,156,2010
441,"Evans County, Georgia","10,774","10,168","6,240","3,114",29,82,12,691,2020
442,"Fayette County, Georgia","106,567","104,179","75,802","21,395",316,"4,130",75,"2,461",2010
442,"Fannin County, Georgia","25,319","24,179","23,549",85,95,113,5,332,2020
443,"Floyd County, Georgia","96,317","94,518","74,055","13,640",344,"1,253",116,"5,110",2010
443,"Fayette County, Georgia","119,194","110,169","69,788","29,559",410,"6,419",58,"3,935",2020
444,"Forsyth County, Georgia","175,511","172,635","149,946","4,510",575,"10,925",66,"6,613",2010
444,"Floyd County, Georgia","98,584","91,373","69,485","14,087",698,"1,289",24,"5,790",2020
445,"Forsyth County, Georgia","251,283","230,990","163,687","10,721","1,017","45,203",92,"10,270",2020
445,"Franklin County, Georgia","22,084","21,706","19,280","1,850",42,121,4,409,2010
446,"Fulton County, Georgia","920,581 (r41350)","900,302","409,697","405,575","2,259","51,569",335,"30,867",2010
446,"Franklin County, Georgia","23,424","22,312","19,449","1,904",43,261,6,649,2020
447,"Fulton County, Georgia","1,066,710","995,802","418,700","453,834","3,255","80,949",452,"38,612",2020
447,"Gilmer County, Georgia","28,292","27,921","26,115",135,94,74,39,"1,464",2010
448,"Gilmer County, Georgia","31,353","29,566","26,962",146,260,143,5,"2,050",2020
448,"Glascock County, Georgia","3,082","3,047","2,767",253,7,1,0,19,2010
449,"Glynn County, Georgia","79,626","78,196","53,823","20,726",232,921,95,"2,399",2010
449,"Glascock County, Georgia","2,884","2,801","2,590",196,0,7,4,4,2020
450,"Glynn County, Georgia","84,499","79,673","54,229","20,676",372,"1,189",121,"3,086",2020
450,"Gordon County, Georgia","55,186","54,102","47,032","2,005",202,540,71,"4,252",2010
451,"Grady County, Georgia","25,011","24,618","15,716","7,176",182,106,21,"1,417",2010
451,"Gordon County, Georgia","57,544","52,960","45,135","2,147",358,722,21,"4,577",2020
452,"Grady County, Georgia","26,236","24,887","15,065","7,336",256,120,6,"2,104",2020
452,"Greene County, Georgia","15,994","15,818","9,056","6,105",50,54,13,540,2010
453,"Gwinnett County, Georgia","805,321","780,029","429,563","190,167","4,038","85,292",477,"70,492",2010
453,"Greene County, Georgia","18,915","18,026","11,296","5,810",37,174,4,705,2020
454,"Gwinnett County, Georgia","957,062","854,481","339,822","262,709","7,918","127,152",604,"116,276",2020
454,"Habersham County, Georgia","43,041","42,270","36,893","1,444",195,960,65,"2,713",2010
455,"Hall County, Georgia","179,684","175,722","133,197","13,279",811,"3,226",167,"25,042",2010
455,"Habersham County, Georgia","46,031","42,313","36,249","1,749",236,999,36,"3,044",2020
456,"Hancock County, Georgia","9,429","9,372","2,300","6,983",35,47,1,6,2010
456,"Hall County, Georgia","203,136","180,847","130,744","14,660","1,739","4,254",107,"29,343",2020
457,"Haralson County, Georgia","28,780","28,384","26,707","1,353",66,141,2,115,2010
457,"Hancock County, Georgia","8,735","8,535","2,421","6,028",25,37,1,23,2020
458,"Haralson County, Georgia","29,919","28,749","27,011","1,253",64,187,11,223,2020
458,"Harris County, Georgia","32,024","31,548","25,392","5,506",108,287,17,238,2010
459,"Hart County, Georgia","25,213","24,894","19,515","4,710",29,218,0,422,2010
459,"Harris County, Georgia","34,668","32,607","26,353","5,237",122,397,21,477,2020
460,"Heard County, Georgia","11,834","11,629","10,284","1,159",36,56,3,91,2010
460,"Hart County, Georgia","25,828","24,648","19,447","4,334",63,335,2,467,2020
461,"Henry County, Georgia","203,922","198,945","112,201","75,277",555,"5,968",129,"4,815",2010
461,"Heard County, Georgia","11,412","10,810","9,672",942,33,53,6,104,2020
462,"Houston County, Georgia","139,900","136,047","88,626","39,998",475,"3,403",185,"3,360",2010
462,"Henry County, Georgia","240,712","225,110","89,241","118,124",832,"8,064",132,"8,717",2020
463,"Houston County, Georgia","163,633","151,769","88,519","52,610",574,"4,975",153,"4,938",2020
463,"Irwin County, Georgia","9,538","9,453","6,811","2,472",2,61,0,107,2010
464,"Irwin County, Georgia","9,666","9,358","6,487","2,229",24,119,1,498,2020
464,"Jackson County, Georgia","60,485","59,418","52,496","4,103",124,"1,033",13,"1,649",2010
465,"Jackson County, Georgia","75,907","70,893","60,464","5,232",245,"1,780",44,"3,128",2020
465,"Jasper County, Georgia","13,900","13,667","10,271","3,037",55,30,1,273,2010
466,"Jasper County, Georgia","14,588","13,819","10,913","2,464",42,24,9,367,2020
466,"Jeff Davis County, Georgia","15,068","14,888","11,463","2,224",34,70,0,"1,097",2010
467,"Jefferson County, Georgia","16,930","16,782","7,206","9,213",18,68,2,275,2010
467,"Jeff Davis County, Georgia","14,779","14,058","10,354","2,307",82,54,7,"1,254",2020
468,"Jenkins County, Georgia","8,340","8,244","4,579","3,380",26,36,4,219,2010
468,"Jefferson County, Georgia","15,709","15,299","6,941","7,976",44,70,0,268,2020
469,"Johnson County, Georgia","9,980","9,899","6,301","3,489",19,22,3,65,2010
469,"Jenkins County, Georgia","8,674","8,462","4,679","3,545",35,12,5,186,2020
470,"Johnson County, Georgia","9,189","8,967","5,822","3,032",23,28,15,47,2020
470,"Jones County, Georgia","28,669","28,353","20,989","7,008",63,187,3,103,2010
471,"Jones County, Georgia","28,347","27,363","20,206","6,767",49,141,7,193,2020
471,"Lamar County, Georgia","18,317","18,011","12,098","5,650",47,72,2,142,2010
472,"Lamar County, Georgia","18,500","17,726","12,475","4,914",21,103,4,209,2020
472,"Lanier County, Georgia","10,078","9,842","7,118","2,390",53,103,3,175,2010
473,"Laurens County, Georgia","48,434","47,857","29,355","17,324",100,483,4,591,2010
473,"Lanier County, Georgia","9,877","9,300","6,794","2,173",40,81,20,192,2020
474,"Lee County, Georgia","28,298","27,911","21,763","5,268",74,617,19,170,2010
474,"Laurens County, Georgia","49,570","47,904","28,160","18,332",102,513,14,783,2020
475,"Liberty County, Georgia","63,453","60,493","29,881","26,805",358,"1,247",392,"1,810",2010
475,"Lee County, Georgia","33,163","31,675","22,985","7,375",78,854,13,370,2020
476,"Liberty County, Georgia","65,256","58,897","25,953","28,095",320,"1,380",478,"2,671",2020
476,"Lincoln County, Georgia","7,996","7,921","5,257","2,570",28,32,1,33,2010
477,"Long County, Georgia","14,464","13,974","9,026","3,647",91,115,56,"1,039",2010
477,"Lincoln County, Georgia","7,690","7,426","5,239","2,124",18,20,3,22,2020
478,"Long County, Georgia","16,168","14,634","9,197","4,125",137,181,91,903,2020
478,"Lowndes County, Georgia","109,233","106,921","63,485","39,142",416,"1,591",122,"2,165",2010
479,"Lumpkin County, Georgia","29,966","29,423","28,277",340,177,138,27,464,2010
479,"Lowndes County, Georgia","118,251","111,390","61,186","44,434",477,"1,952",117,"3,224",2020
480,"Lumpkin County, Georgia","33,488","31,335","29,750",429,187,257,21,691,2020
480,"McDuffie County, Georgia","21,875","21,571","12,518","8,706",65,76,15,191,2010
481,"McIntosh County, Georgia","14,333","14,156","8,811","5,149",53,45,10,88,2010
481,"McDuffie County, Georgia","21,632","20,759","11,580","8,682",50,77,20,350,2020
482,"Macon County, Georgia","14,740","14,595","5,177","8,933",40,195,20,230,2010
482,"McIntosh County, Georgia","10,975","10,488","7,145","3,192",38,43,0,70,2020
483,"Macon County, Georgia","12,082","11,835","4,153","7,164",32,156,8,322,2020
483,"Madison County, Georgia","28,120","27,769","24,634","2,355",74,178,1,527,2010
484,"Marion County, Georgia","8,742","8,603","5,254","2,856",44,78,13,358,2010
484,"Madison County, Georgia","30,120","28,381","23,977","2,769",82,529,7,"1,017",2020
485,"Marion County, Georgia","7,498","7,143","4,551","2,150",24,55,16,347,2020
485,"Meriwether County, Georgia","21,992","21,730","12,741","8,605",77,141,2,164,2010
486,"Miller County, Georgia","6,125","6,054","4,266","1,720",15,28,0,25,2010
486,"Meriwether County, Georgia","20,613","19,880","12,233","7,286",64,78,6,213,2020
487,"Miller County, Georgia","6,000","5,836","3,986","1,751",10,31,3,55,2020
487,"Mitchell County, Georgia","23,498","23,267","11,264","11,219",77,122,10,575,2010
488,"Mitchell County, Georgia","21,755","21,159","10,273","10,114",45,108,0,619,2020
488,"Monroe County, Georgia","26,424","26,148","19,365","6,268",69,214,4,228,2010
489,"Montgomery County, Georgia","9,123","9,024","6,291","2,397",6,26,1,303,2010
489,"Monroe County, Georgia","27,957","26,833","20,122","6,113",43,244,4,307,2020
490,"Montgomery County, Georgia","8,610","8,312","5,789","2,133",25,39,2,324,2020
490,"Morgan County, Georgia","17,868","17,637","12,984","4,208",54,106,0,285,2010
491,"Morgan County, Georgia","20,097","19,284","14,609","4,122",48,126,1,378,2020
491,"Murray County, Georgia","39,628","38,998","35,320",245,159,116,25,"3,133",2010
492,"Muscogee County, Georgia","189,885","184,117","87,870","86,403",731,"4,128",431,"4,554",2010
492,"Murray County, Georgia","39,973","37,164","33,343",282,599,134,2,"2,804",2020
493,"Muscogee County, Georgia","206,922","192,287","82,467","96,163",827,"5,661",555,"6,614",2020
493,"Newton County, Georgia","99,958","97,875","53,754","40,878",232,906,37,"2,068",2010
494,"Oconee County, Georgia","32,808","32,356","29,004","1,635",49,"1,022",5,641,2010
494,"Newton County, Georgia","112,483","106,030","48,030","52,794",330,"1,053",125,"3,698",2020
495,"Oglethorpe County, Georgia","14,899","14,615","11,662","2,566",35,65,2,285,2010
495,"Oconee County, Georgia","41,799","39,413","34,450","1,921",76,"2,082",0,884,2020
496,"Paulding County, Georgia","142,324","139,037","110,517","24,321",427,"1,271",67,"2,434",2010
496,"Oglethorpe County, Georgia","14,825","13,933","11,072","2,260",54,134,5,408,2020
497,"Peach County, Georgia","27,695","27,270","13,383","12,715",67,223,8,874,2010
497,"Paulding County, Georgia","168,661","156,335","111,196","37,353",614,"1,956",126,"5,090",2020
498,"Pickens County, Georgia","29,431","29,086","28,171",312,81,119,7,396,2010
498,"Peach County, Georgia","27,981","26,530","12,499","12,219",110,199,7,"1,496",2020
499,"Pierce County, Georgia","18,758","18,499","16,293","1,666",80,59,12,389,2010
499,"Pickens County, Georgia","33,216","31,519","30,400",301,141,194,6,477,2020
500,"Pierce County, Georgia","19,716","18,978","16,654","1,603",77,83,2,559,2020
500,"Pike County, Georgia","17,869","17,628","15,606","1,837",55,56,1,73,2010
501,"Pike County, Georgia","18,889","18,136","16,439","1,447",34,79,0,137,2020
501,"Polk County, Georgia","41,475","40,716","31,974","5,190",115,281,36,"3,120",2010
502,"Pulaski County, Georgia","12,010","11,887","7,679","3,824",40,105,5,234,2010
502,"Polk County, Georgia","42,853","40,407","31,249","5,212",325,240,26,"3,355",2020
503,"Putnam County, Georgia","21,218","20,960","14,408","5,522",38,107,18,867,2010
503,"Pulaski County, Georgia","9,855","9,578","6,098","3,170",13,93,3,201,2020
504,"Quitman County, Georgia","2,513","2,502","1,290","1,204",4,2,0,2,2010
504,"Putnam County, Georgia","22,047","20,902","14,669","5,419",83,108,1,622,2020
505,"Quitman County, Georgia","2,235","2,143","1,190",919,13,12,0,9,2020
505,"Rabun County, Georgia","16,276","16,024","15,185",156,68,116,8,491,2010
506,"Randolph County, Georgia","7,719","7,659","2,827","4,769",5,23,0,35,2010
506,"Rabun County, Georgia","16,883","15,796","15,033",114,70,63,1,515,2020
507,"Richmond County, Georgia","200,549","195,319","79,624","108,633",685,"3,331",400,"2,646",2010
507,"Randolph County, Georgia","6,425","6,259","2,253","3,877",12,21,3,93,2020
508,"Richmond County, Georgia","206,607","195,001","70,997","114,201",690,"3,975",416,"4,722",2020
508,"Rockdale County, Georgia","85,215","83,387","38,187","39,559",253,"1,516",56,"3,816",2010
509,"Rockdale County, Georgia","93,570","87,365","25,661","54,409",312,"1,542",83,"5,358",2020
509,"Schley County, Georgia","5,010","4,961","3,658","1,169",2,36,0,96,2010
510,"Schley County, Georgia","4,547","4,379","3,425",877,4,20,2,51,2020
510,"Screven County, Georgia","14,593","14,428","7,965","6,318",46,57,1,41,2010
511,"Screven County, Georgia","14,067","13,621","8,087","5,308",51,61,8,106,2020
511,"Seminole County, Georgia","8,729","8,642","5,594","2,916",12,35,0,85,2010
512,"Seminole County, Georgia","9,147","8,853","5,658","2,995",7,64,2,127,2020
512,"Spalding County, Georgia","64,073","63,023","40,148","21,030",213,574,34,"1,024",2010
513,"Stephens County, Georgia","26,175","25,658","22,286","2,845",77,178,15,257,2010
513,"Spalding County, Georgia","67,306","63,766","37,855","23,301",245,648,24,"1,693",2020
514,"Stephens County, Georgia","26,784","25,199","21,589","2,976",94,229,11,300,2020
514,"Stewart County, Georgia","6,058","5,998","1,696","2,864",11,44,1,"1,382",2010
515,"Stewart County, Georgia","5,314","5,179","1,352","2,466",13,169,6,"1,173",2020
515,"Sumter County, Georgia","32,819","32,441","13,852","17,001",106,421,21,"1,040",2010
516,"Talbot County, Georgia","6,865","6,797","2,679","4,065",18,9,0,26,2010
516,"Sumter County, Georgia","29,616","28,707","11,783","15,120",81,504,11,"1,208",2020
517,"Talbot County, Georgia","5,733","5,572","2,461","3,079",5,17,1,9,2020
517,"Taliaferro County, Georgia","1,717","1,693",640,"1,024",2,11,0,16,2010
518,"Tattnall County, Georgia","25,520","25,186","15,991","7,465",87,99,17,"1,527",2010
518,"Taliaferro County, Georgia","1,559","1,477",606,833,4,6,0,28,2020
519,"Tattnall County, Georgia","22,842","21,798","14,276","6,018",83,127,6,"1,288",2020
519,"Taylor County, Georgia","8,906","8,832","5,208","3,503",6,57,0,58,2010
520,"Telfair County, Georgia","16,500","16,215","9,398","6,017",26,96,4,674,2010
520,"Taylor County, Georgia","7,816","7,597","4,640","2,826",27,39,5,60,2020
521,"Telfair County, Georgia","12,477","12,175","7,269","4,630",35,32,0,209,2020
521,"Terrell County, Georgia","9,315 (r41444)","9,229","3,407","5,700",18,29,1,74,2010
522,"Terrell County, Georgia","9,185","8,942","3,237","5,565",11,67,4,58,2020
522,"Thomas County, Georgia","44,720","44,175","26,645","16,497",196,311,7,519,2010
523,"Thomas County, Georgia","45,798","44,064","26,375","16,343",189,424,9,724,2020
523,"Tift County, Georgia","40,118","39,490","24,645","11,618",85,512,8,"2,622",2010
524,"Toombs County, Georgia","27,223","26,802","17,728","6,767",74,200,14,"2,019",2010
524,"Tift County, Georgia","41,344","38,926","23,237","12,131",136,651,2,"2,769",2020
525,"Towns County, Georgia","10,471","10,410","10,232",41,31,44,1,61,2010
525,"Toombs County, Georgia","27,030","25,660","16,560","7,023",101,209,6,"1,761",2020
526,"Towns County, Georgia","12,493","12,023","11,594",128,30,81,3,187,2020
526,"Treutlen County, Georgia","6,885","6,817","4,488","2,247",14,13,0,55,2010
527,"Troup County, Georgia","67,044","66,032","41,216","22,394",168,"1,060",54,"1,140",2010
527,"Treutlen County, Georgia","6,406","6,224","4,106","2,024",21,7,1,65,2020
528,"Troup County, Georgia","69,426","66,486","38,639","24,287",203,"1,610",37,"1,710",2020
528,"Turner County, Georgia","8,930","8,865","4,886","3,712",29,40,0,198,2010
529,"Twiggs County, Georgia","9,023","8,920","5,123","3,724",28,14,1,30,2010
529,"Turner County, Georgia","9,006","8,711","4,812","3,666",7,51,0,175,2020
530,"Twiggs County, Georgia","8,022","7,744","4,522","3,124",22,37,0,39,2020
530,"Union County, Georgia","21,356","21,102","20,668",99,72,75,4,184,2010
531,"Upson County, Georgia","27,153","26,818","18,693","7,590",76,127,9,323,2010
531,"Union County, Georgia","24,632","23,437","22,836",129,93,106,0,273,2020
532,"Upson County, Georgia","27,700","26,648","18,141","7,899",93,151,1,363,2020
532,"Walker County, Georgia","68,756","67,677","63,918","2,829",182,297,30,421,2010
533,"Walton County, Georgia","83,768","82,517","67,057","13,103",222,956,48,"1,131",2010
533,"Walker County, Georgia","67,654","64,260","60,122","2,871",208,299,34,726,2020
534,"Walton County, Georgia","96,673","91,248","69,649","17,325",290,"1,414",54,"2,516",2020
534,"Ware County, Georgia","36,312","35,779","24,103","10,721",120,279,13,543,2010
535,"Ware County, Georgia","36,251","34,707","22,626","10,768",101,333,18,861,2020
535,"Warren County, Georgia","5,834","5,798","2,152","3,602",10,22,0,12,2010
536,"Warren County, Georgia","5,215","5,097","1,994","3,053",18,15,3,14,2020
536,"Washington County, Georgia","21,187","20,977","9,531","11,173",25,104,1,143,2010
537,"Washington County, Georgia","19,988","19,487","8,482","10,724",43,76,0,162,2020
537,"Wayne County, Georgia","30,099","29,497","22,558","5,996",127,161,6,649,2010
538,"Webster County, Georgia","2,799","2,770","1,512","1,185",0,7,0,66,2010
538,"Wayne County, Georgia","30,144","28,867","21,859","5,978",101,174,2,753,2020
539,"Webster County, Georgia","2,348","2,249","1,145","1,063",3,12,6,20,2020
539,"Wheeler County, Georgia","7,421","7,364","4,552","2,614",6,16,2,174,2010
540,"Wheeler County, Georgia","7,471","7,303","4,226","2,882",28,18,0,149,2020
540,"White County, Georgia","27,144","26,775","25,824",457,131,124,9,230,2010
541,"Whitfield County, Georgia","102,599","99,955","78,623","3,845",658,"1,330",70,"15,429",2010
541,"White County, Georgia","28,003","26,389","25,261",476,144,161,0,347,2020
542,"Whitfield County, Georgia","102,864","90,662","65,152","3,765","2,037","1,427",37,"18,244",2020
542,"Wilcox County, Georgia","9,255","9,166","5,706","3,252",16,42,1,149,2010
543,"Wilkes County, Georgia","10,593","10,439","5,616","4,535",18,52,1,217,2010
543,"Wilcox County, Georgia","8,766","8,542","5,254","3,099",3,49,3,134,2020
544,"Wilkes County, Georgia","9,565","9,172","5,050","3,846",35,62,1,178,2020
544,"Wilkinson County, Georgia","9,563","9,458","5,598","3,672",29,31,1,127,2010
545,"Worth County, Georgia","21,679","21,446","15,232","5,978",58,74,6,98,2010
545,"Wilkinson County, Georgia","8,877","8,520","5,167","3,175",30,30,7,111,2020
546,"Worth County, Georgia","20,784","20,132","14,529","5,273",61,88,8,173,2020
546,"Hawaii County, Hawaii","185,079","130,544","62,348","1,020",869,"41,050","22,389","2,868",2010
547,"Honolulu County, Hawaii","953,207","740,171","198,732","19,256","2,438","418,410","90,878","10,457",2010
547,"Hawaii County, Hawaii","200,629","141,384","67,365","1,251","1,027","39,607","28,096","4,038",2020
548,"Kalawao County, Hawaii",90,76,24,0,0,7,44,1,2010
548,"Honolulu County, Hawaii","1,016,508","767,822","188,462","20,723","2,278","436,853","102,099","17,407",2020
549,"Kauai County, Hawaii","67,091","50,375","22,159",278,254,"21,016","6,060",608,2010
549,"Kalawao County, Hawaii",82,60,27,2,0,12,15,4,2020
550,"Kauai County, Hawaii","73,298","53,290","23,204",376,287,"21,102","7,227","1,094",2020
550,"Maui County, Hawaii","154,834","118,506","53,336",870,603,"44,595","16,051","3,051",2010
551,"Maui County, Hawaii","164,754","124,586","54,203","1,065",778,"44,328","20,008","4,204",2020
551,"Ada County, Idaho","392,365","381,195","354,347","4,441","2,610","9,407",861,"9,529",2010
552,"Ada County, Idaho","494,967","453,110","410,263","8,058","3,274","13,929","1,318","16,268",2020
552,"Adams County, Idaho","3,976","3,909","3,821",5,39,16,2,26,2010
553,"Adams County, Idaho","4,379","4,159","4,060",3,38,11,0,47,2020
553,"Bannock County, Idaho","82,839","80,633","74,401",625,"2,619","1,079",188,"1,721",2010
554,"Bannock County, Idaho","87,018","81,011","72,902",748,"3,104","1,197",268,"2,792",2020
554,"Bear Lake County, Idaho","5,986","5,922","5,767",6,29,22,1,97,2010
555,"Bear Lake County, Idaho","6,372","6,137","6,036",10,32,13,2,44,2020
555,"Benewah County, Idaho","9,285","8,953","8,039",28,809,27,6,44,2010
556,"Benewah County, Idaho","9,530","8,850","7,853",8,828,35,15,111,2020
556,"Bingham County, Idaho","45,607","44,628","36,752",105,"2,970",285,36,"4,480",2010
557,"Blaine County, Idaho","21,376","21,050","18,157",39,125,183,16,"2,530",2010
557,"Bingham County, Idaho","47,992","44,507","36,630",126,"3,340",200,39,"4,172",2020
558,"Blaine County, Idaho","24,272","22,051","18,677",50,144,212,16,"2,952",2020
558,"Boise County, Idaho","7,028","6,865","6,703",15,55,29,5,58,2010
559,"Bonner County, Idaho","40,877","40,023","39,261",58,315,184,42,163,2010
559,"Boise County, Idaho","7,610","7,125","6,844",26,66,37,7,145,2020
560,"Bonner County, Idaho","47,110","44,232","42,939",118,346,255,42,532,2020
560,"Bonneville County, Idaho","104,234 (r41543)","102,062","94,411",585,790,856,86,"5,334",2010
561,"Boundary County, Idaho","10,972","10,742","10,398",29,189,62,6,58,2010
561,"Bonneville County, Idaho","123,964","115,090","103,736",626,"1,261","1,423",154,"7,890",2020
562,"Boundary County, Idaho","12,056","11,294","10,715",27,169,75,9,299,2020
562,"Butte County, Idaho","2,891","2,849","2,761",6,13,5,5,59,2010
563,"Butte County, Idaho","2,574","2,431","2,372",2,18,3,3,33,2020
563,"Camas County, Idaho","1,117","1,081","1,051",3,6,1,0,20,2010
564,"Camas County, Idaho","1,077",978,948,2,1,9,0,18,2020
564,"Canyon County, Idaho","188,923","183,245","156,750","1,077","2,028","1,519",402,"21,469",2010
565,"Caribou County, Idaho","6,963","6,857","6,637",4,23,15,15,163,2010
565,"Canyon County, Idaho","231,105","202,877","169,392","1,629","2,670","2,119",699,"26,368",2020
